VIA MARIA GAETANA AGNESI 11,148,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 12,147,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 13,148,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 14,147,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 15,148,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 16,147,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 17,148,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 18,147,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 19,148,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 21,147,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 22,147,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 23,147,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 23/2 ,147,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 24,147,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 25,147,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 27,147,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 28,147,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 30,147,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 31,132,Centro Sociale Ruozi - Sala Tv                              ,via Castelmerlo 13, 
